date,goods_inflation
2018-09-18,121.1
2018-09-19,121.1
2018-09-20,121.1
2018-09-21,121.1
2018-09-22,121.1
2018-09-23,121.1
2018-09-24,121.1
2018-09-25,121.1
2018-09-26,121.1
2018-09-27,121.1
2018-09-28,121.1
2018-09-29,121.1
2018-09-30,121.1
2018-10-01,121.4
2018-10-02,121.4
2018-10-03,121.4
2018-10-04,121.4
2018-10-05,121.4
2018-10-06,121.4
2018-10-07,121.4
2018-10-08,121.4
2018-10-09,121.4
2018-10-10,121.4
2018-10-11,121.4
2018-10-12,121.4
2018-10-13,121.4
2018-10-14,121.4
2018-10-15,121.4
2018-10-16,121.4
2018-10-17,121.4
2018-10-18,121.4
2018-10-19,121.4
2018-10-20,121.4
2018-10-21,121.4
2018-10-22,121.4
2018-10-23,121.4
2018-10-24,121.4
2018-10-25,121.4
2018-10-26,121.4
2018-10-27,121.4
2018-10-28,121.4
2018-10-29,121.4
2018-10-30,121.4
2018-10-31,121.4
2018-11-01,120.5
2018-11-02,120.5
2018-11-03,120.5
2018-11-04,120.5
2018-11-05,120.5
2018-11-06,120.5
2018-11-07,120.5
2018-11-08,120.5
2018-11-09,120.5
2018-11-10,120.5
2018-11-11,120.5
2018-11-12,120.5
2018-11-13,120.5
2018-11-14,120.5
2018-11-15,120.5
2018-11-16,120.5
2018-11-17,120.5
2018-11-18,120.5
2018-11-19,120.5
2018-11-20,120.5
2018-11-21,120.5
2018-11-22,120.5
2018-11-23,120.5
2018-11-24,120.5
2018-11-25,120.5
2018-11-26,120.5
2018-11-27,120.5
2018-11-28,120.5
2018-11-29,120.5
2018-11-30,120.5
2018-12-01,119.6
2018-12-02,119.6
2018-12-03,119.6
2018-12-04,119.6
2018-12-05,119.6
2018-12-06,119.6
2018-12-07,119.6
2018-12-08,119.6
2018-12-09,119.6
2018-12-10,119.6
2018-12-11,119.6
2018-12-12,119.6
2018-12-13,119.6
2018-12-14,119.6
2018-12-15,119.6
2018-12-16,119.6
2018-12-17,119.6
2018-12-18,119.6
2018-12-19,119.6
2018-12-20,119.6
2018-12-21,119.6
2018-12-22,119.6
2018-12-23,119.6
2018-12-24,119.6
2018-12-25,119.6
2018-12-26,119.6
2018-12-27,119.6
2018-12-28,119.6
2018-12-29,119.6
2018-12-30,119.6
2018-12-31,119.6
2019-01-01,120.0
2019-01-02,120.0
2019-01-03,120.0
2019-01-04,120.0
2019-01-05,120.0
2019-01-06,120.0
2019-01-07,120.0
2019-01-08,120.0
2019-01-09,120.0
2019-01-10,120.0
2019-01-11,120.0
2019-01-12,120.0
2019-01-13,120.0
2019-01-14,120.0
2019-01-15,120.0
2019-01-16,120.0
2019-01-17,120.0
2019-01-18,120.0
2019-01-19,120.0
2019-01-20,120.0
2019-01-21,120.0
2019-01-22,120.0
2019-01-23,120.0
2019-01-24,120.0
2019-01-25,120.0
2019-01-26,120.0
2019-01-27,120.0
2019-01-28,120.0
2019-01-29,120.0
2019-01-30,120.0
2019-01-31,120.0
2019-02-01,121.4
2019-02-02,121.4
2019-02-03,121.4
2019-02-04,121.4
2019-02-05,121.4
2019-02-06,121.4
2019-02-07,121.4
2019-02-08,121.4
2019-02-09,121.4
2019-02-10,121.4
2019-02-11,121.4
2019-02-12,121.4
2019-02-13,121.4
2019-02-14,121.4
2019-02-15,121.4
2019-02-16,121.4
2019-02-17,121.4
2019-02-18,121.4
2019-02-19,121.4
2019-02-20,121.4
2019-02-21,121.4
2019-02-22,121.4
2019-02-23,121.4
2019-02-24,121.4
2019-02-25,121.4
2019-02-26,121.4
2019-02-27,121.4
2019-02-28,121.4
2019-03-01,122.7
2019-03-02,122.7
2019-03-03,122.7
2019-03-04,122.7
2019-03-05,122.7
2019-03-06,122.7
